clip_id,set_id,set_name,class,description,dramatic_use,camera_behavior,duration_seconds,looping,fps,master_resolution,character_safe_area,foreground_motion,background_motion,lighting_change,weather_fx,sound_suggestion,required_source_art,generation_method,visualizer_compatibility,transition_requirement,status
JV-FAL-CLP-TRV-DAY-SUM-V001,JV-FAL,Joeville Falls,travel transition,Joeville Falls travel transition,"wonder, intimacy, reflection",forward or lateral camera travel,10,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic canyon ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-MED-CLP-MIC-DAY-SUM-V001,JV-MED,Thirteen Stones Meditation Circle,micro insert,Thirteen Stones Meditation Circle micro insert,"ritual, reflection, council",subtle local action,3,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic castle ridge ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-MED-CLP-EST-DAY-SUM-V001,JV-MED,Thirteen Stones Meditation Circle,establishing move,Thirteen Stones Meditation Circle establishing move,"ritual, reflection, council",slow push or drift,8,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic castle ridge ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-MED-CLP-AMB-DAY-SUM-V001,JV-MED,Thirteen Stones Meditation Circle,ambient loop,Thirteen Stones Meditation Circle ambient loop,"ritual, reflection, council","foliage, water, practical light only",16,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic castle ridge ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-MED-CLP-DLG-DAY-SUM-V001,JV-MED,Thirteen Stones Meditation Circle,dialogue loop,Thirteen Stones Meditation Circle dialogue loop,"ritual, reflection, council",very low-amplitude background motion,24,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic castle ridge ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-MED-CLP-LONG-DAY-SUM-V001,JV-MED,Thirteen Stones Meditation Circle,long environmental loop,Thirteen Stones Meditation Circle long environmental loop,"ritual, reflection, council",meditative non-distracting motion,45,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic castle ridge ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-MED-CLP-TRV-DAY-SUM-V001,JV-MED,Thirteen Stones Meditation Circle,travel transition,Thirteen Stones Meditation Circle travel transition,"ritual, reflection, council",forward or lateral camera travel,10,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic castle ridge ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-DAN-CLP-MIC-DAY-SUM-V001,JV-DAN,Current Hall,micro insert,Current Hall micro insert,"ecstatic dance, celebration, decompression",subtle local action,3,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic creek corridor ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-DAN-CLP-EST-DAY-SUM-V001,JV-DAN,Current Hall,establishing move,Current Hall establishing move,"ecstatic dance, celebration, decompression",slow push or drift,8,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic creek corridor ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-DAN-CLP-AMB-DAY-SUM-V001,JV-DAN,Current Hall,ambient loop,Current Hall ambient loop,"ecstatic dance, celebration, decompression","foliage, water, practical light only",16,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic creek corridor ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-DAN-CLP-DLG-DAY-SUM-V001,JV-DAN,Current Hall,dialogue loop,Current Hall dialogue loop,"ecstatic dance, celebration, decompression",very low-amplitude background motion,24,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic creek corridor ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-DAN-CLP-LONG-DAY-SUM-V001,JV-DAN,Current Hall,long environmental loop,Current Hall long environmental loop,"ecstatic dance, celebration, decompression",meditative non-distracting motion,45,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic creek corridor ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-DAN-CLP-TRV-DAY-SUM-V001,JV-DAN,Current Hall,travel transition,Current Hall travel transition,"ecstatic dance, celebration, decompression",forward or lateral camera travel,10,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic creek corridor ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-TRL-CLP-MIC-DAY-SUM-V001,JV-TRL,Foothill Trail System,micro insert,Foothill Trail System micro insert,"walking dialogue, challenge, discovery",subtle local action,3,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic mountain ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-TRL-CLP-EST-DAY-SUM-V001,JV-TRL,Foothill Trail System,establishing move,Foothill Trail System establishing move,"walking dialogue, challenge, discovery",slow push or drift,8,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic mountain ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-TRL-CLP-AMB-DAY-SUM-V001,JV-TRL,Foothill Trail System,ambient loop,Foothill Trail System ambient loop,"walking dialogue, challenge, discovery","foliage, water, practical light only",16,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic mountain ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-TRL-CLP-DLG-DAY-SUM-V001,JV-TRL,Foothill Trail System,dialogue loop,Foothill Trail System dialogue loop,"walking dialogue, challenge, discovery",very low-amplitude background motion,24,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic mountain ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-TRL-CLP-LONG-DAY-SUM-V001,JV-TRL,Foothill Trail System,long environmental loop,Foothill Trail System long environmental loop,"walking dialogue, challenge, discovery",meditative non-distracting motion,45,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic mountain ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-TRL-CLP-TRV-DAY-SUM-V001,JV-TRL,Foothill Trail System,travel transition,Foothill Trail System travel transition,"walking dialogue, challenge, discovery",forward or lateral camera travel,10,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic mountain ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-CAS-CLP-MIC-DAY-SUM-V001,JV-CAS,Castle Grace,micro insert,Castle Grace micro insert,"home base, council, feast, celebration",subtle local action,3,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic castle ridge ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-CAS-CLP-EST-DAY-SUM-V001,JV-CAS,Castle Grace,establishing move,Castle Grace establishing move,"home base, council, feast, celebration",slow push or drift,8,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic castle ridge ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-CAS-CLP-AMB-DAY-SUM-V001,JV-CAS,Castle Grace,ambient loop,Castle Grace ambient loop,"home base, council, feast, celebration","foliage, water, practical light only",16,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic castle ridge ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-CAS-CLP-DLG-DAY-SUM-V001,JV-CAS,Castle Grace,dialogue loop,Castle Grace dialogue loop,"home base, council, feast, celebration",very low-amplitude background motion,24,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic castle ridge ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-CAS-CLP-LONG-DAY-SUM-V001,JV-CAS,Castle Grace,long environmental loop,Castle Grace long environmental loop,"home base, council, feast, celebration",meditative non-distracting motion,45,seamless,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic castle ridge ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
JV-CAS-CLP-TRV-DAY-SUM-V001,JV-CAS,Castle Grace,travel transition,Castle Grace travel transition,"home base, council, feast, celebration",forward or lateral camera travel,10,non-looping,24,3840x2160,center/lower stage remains unobstructed; follow matching still master,separate optional pass,wind/water/practicals as applicable,none for loops; motivated only for transition,separate optional pass,location-authentic castle ridge ambience,approved layered master plus clean plate,2.5D multiplane or controlled video generation,"REQUIRES RUNTIME UPGRADE: current verified runtime accepts procedural cell frames, not environment video",first/last frames match for loops; 8-frame handles for editorial,PLANNED-NOT-CREATED
