shot_id,set_id,set_name,district,shot_class,camera,time,season,dramatic_use,cast_capacity,character_safe_area,ground_horizon,layers,clean_plate,status
JV-COF-STL-INT-REV-DAY-V001,JV-COF,Lantern & Lark Coffee,Downtown,reverse master,32mm-equivalent,clear late-morning,summer master,"intimacy, work, comic ordering",5,reverse eyelines and window continuity,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-COF-STL-DLG-2S-DAY-V001,JV-COF,Lantern & Lark Coffee,Downtown,clean dialogue two-shot,50mm-equivalent,clear late-morning,summer master,"intimacy, work, comic ordering",5,two 34x52-cell figures plus gesture clearance,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-COF-STL-DLG-OTS-L-DAY-V001,JV-COF,Lantern & Lark Coffee,Downtown,clean over-shoulder left,65mm-equivalent,clear late-morning,summer master,"intimacy, work, comic ordering",5,left foreground occluder delivered separately,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-COF-STL-DLG-OTS-R-DAY-V001,JV-COF,Lantern & Lark Coffee,Downtown,clean over-shoulder right,65mm-equivalent,clear late-morning,summer master,"intimacy, work, comic ordering",5,right foreground occluder delivered separately,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-COF-STL-DLG-GRP-DAY-V001,JV-COF,Lantern & Lark Coffee,Downtown,three-to-five group dialogue,40mm-equivalent,clear late-morning,summer master,"intimacy, work, comic ordering",5,five anchors with non-crossing eyelines,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-COF-STL-MOVE-LR-DAY-V001,JV-COF,Lantern & Lark Coffee,Downtown,side-tracking movement plate,35mm orthogonal-feel,clear late-morning,summer master,"intimacy, work, comic ordering",5,unbroken lateral path across 70 percent width,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-COF-STL-POV-DAY-V001,JV-COF,Lantern & Lark Coffee,Downtown,character point of view,45mm-equivalent,clear late-morning,summer master,"intimacy, work, comic ordering",5,no baked character; clear focal subject,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-COF-STL-INS-SGN-DAY-V001,JV-COF,Lantern & Lark Coffee,Downtown,controlled signage insert,70mm-equivalent,clear late-morning,summer master,"intimacy, work, comic ordering",5,blank sign substrate for graphic pass,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-COF-STL-CLN-DAY-V001,JV-COF,Lantern & Lark Coffee,Downtown,empty clean plate,matching master lens,clear late-morning,summer master,"intimacy, work, comic ordering",5,no people or characters; restoration-ready,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-COF-STL-CLN-GOLD-V001,JV-COF,Lantern & Lark Coffee,Downtown,empty clean plate,matching master lens,golden hour,summer master,"intimacy, work, comic ordering",5,no people or characters; restoration-ready,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-COF-STL-CLN-NIGHT-V001,JV-COF,Lantern & Lark Coffee,Downtown,empty clean plate,matching master lens,blue-hour-to-night,summer master,"intimacy, work, comic ordering",5,no people or characters; restoration-ready,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-EST-EW-DAY-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,extreme-wide establishing,24mm-equivalent elevated,clear late-morning,summer master,"community, picnics, trail departure",13,large center-safe ensemble zone,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-EST-EW-GOLD-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,extreme-wide establishing,24mm-equivalent elevated,golden hour,summer master,"community, picnics, trail departure",13,large center-safe ensemble zone,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-EST-EW-NIGHT-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,extreme-wide establishing,24mm-equivalent elevated,blue-hour-to-night,summer master,"community, picnics, trail departure",13,large center-safe ensemble zone,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-EXT-MAS-DAY-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,exterior master,28mm-equivalent eye-level,clear late-morning,summer master,"community, picnics, trail departure",13,arrival path and doorway clear,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-EXT-MAS-GOLD-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,exterior master,28mm-equivalent eye-level,golden hour,summer master,"community, picnics, trail departure",13,arrival path and doorway clear,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-EXT-MAS-NIGHT-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,exterior master,28mm-equivalent eye-level,blue-hour-to-night,summer master,"community, picnics, trail departure",13,arrival path and doorway clear,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-EXT-REV-DAY-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,exterior reverse,35mm-equivalent eye-level,clear late-morning,summer master,"community, picnics, trail departure",13,departure path and town orientation clear,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-INT-MAS-DAY-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,interior or primary-area master,28mm-equivalent,clear late-morning,summer master,"community, picnics, trail departure",13,full walkable floor and all exits visible,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-INT-MAS-GOLD-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,interior or primary-area master,28mm-equivalent,golden hour,summer master,"community, picnics, trail departure",13,full walkable floor and all exits visible,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-INT-MAS-NIGHT-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,interior or primary-area master,28mm-equivalent,blue-hour-to-night,summer master,"community, picnics, trail departure",13,full walkable floor and all exits visible,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-INT-REV-DAY-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,reverse master,32mm-equivalent,clear late-morning,summer master,"community, picnics, trail departure",13,reverse eyelines and window continuity,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-DLG-2S-DAY-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,clean dialogue two-shot,50mm-equivalent,clear late-morning,summer master,"community, picnics, trail departure",13,two 34x52-cell figures plus gesture clearance,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-DLG-OTS-L-DAY-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,clean over-shoulder left,65mm-equivalent,clear late-morning,summer master,"community, picnics, trail departure",13,left foreground occluder delivered separately,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-DLG-OTS-R-DAY-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,clean over-shoulder right,65mm-equivalent,clear late-morning,summer master,"community, picnics, trail departure",13,right foreground occluder delivered separately,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-DLG-GRP-DAY-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,three-to-five group dialogue,40mm-equivalent,clear late-morning,summer master,"community, picnics, trail departure",13,five anchors with non-crossing eyelines,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-ENS-13-DAY-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,full-cast ensemble master,28mm-equivalent,clear late-morning,summer master,"community, picnics, trail departure",13,thirteen anchors; only where capacity allows,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-MOVE-LR-DAY-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,side-tracking movement plate,35mm orthogonal-feel,clear late-morning,summer master,"community, picnics, trail departure",13,unbroken lateral path across 70 percent width,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-POV-DAY-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,character point of view,45mm-equivalent,clear late-morning,summer master,"community, picnics, trail departure",13,no baked character; clear focal subject,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-INS-SGN-DAY-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,controlled signage insert,70mm-equivalent,clear late-morning,summer master,"community, picnics, trail departure",13,blank sign substrate for graphic pass,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-CLN-DAY-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,empty clean plate,matching master lens,clear late-morning,summer master,"community, picnics, trail departure",13,no people or characters; restoration-ready,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-CLN-GOLD-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,empty clean plate,matching master lens,golden hour,summer master,"community, picnics, trail departure",13,no people or characters; restoration-ready,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-CHA-STL-CLN-NIGHT-V001,JV-CHA,Grace Meadow and Assembly Hall,Meadow,empty clean plate,matching master lens,blue-hour-to-night,summer master,"community, picnics, trail departure",13,no people or characters; restoration-ready,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-FAL-STL-EST-EW-DAY-V001,JV-FAL,Joeville Falls,Canyon,extreme-wide establishing,24mm-equivalent elevated,clear late-morning,summer master,"wonder, intimacy, reflection",5,large center-safe ensemble zone,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-FAL-STL-EST-EW-GOLD-V001,JV-FAL,Joeville Falls,Canyon,extreme-wide establishing,24mm-equivalent elevated,golden hour,summer master,"wonder, intimacy, reflection",5,large center-safe ensemble zone,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-FAL-STL-EST-EW-NIGHT-V001,JV-FAL,Joeville Falls,Canyon,extreme-wide establishing,24mm-equivalent elevated,blue-hour-to-night,summer master,"wonder, intimacy, reflection",5,large center-safe ensemble zone,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-FAL-STL-EXT-MAS-DAY-V001,JV-FAL,Joeville Falls,Canyon,exterior master,28mm-equivalent eye-level,clear late-morning,summer master,"wonder, intimacy, reflection",5,arrival path and doorway clear,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-FAL-STL-EXT-MAS-GOLD-V001,JV-FAL,Joeville Falls,Canyon,exterior master,28mm-equivalent eye-level,golden hour,summer master,"wonder, intimacy, reflection",5,arrival path and doorway clear,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-FAL-STL-EXT-MAS-NIGHT-V001,JV-FAL,Joeville Falls,Canyon,exterior master,28mm-equivalent eye-level,blue-hour-to-night,summer master,"wonder, intimacy, reflection",5,arrival path and doorway clear,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-FAL-STL-EXT-REV-DAY-V001,JV-FAL,Joeville Falls,Canyon,exterior reverse,35mm-equivalent eye-level,clear late-morning,summer master,"wonder, intimacy, reflection",5,departure path and town orientation clear,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-FAL-STL-INT-MAS-DAY-V001,JV-FAL,Joeville Falls,Canyon,interior or primary-area master,28mm-equivalent,clear late-morning,summer master,"wonder, intimacy, reflection",5,full walkable floor and all exits visible,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-FAL-STL-INT-MAS-GOLD-V001,JV-FAL,Joeville Falls,Canyon,interior or primary-area master,28mm-equivalent,golden hour,summer master,"wonder, intimacy, reflection",5,full walkable floor and all exits visible,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-FAL-STL-INT-MAS-NIGHT-V001,JV-FAL,Joeville Falls,Canyon,interior or primary-area master,28mm-equivalent,blue-hour-to-night,summer master,"wonder, intimacy, reflection",5,full walkable floor and all exits visible,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-FAL-STL-INT-REV-DAY-V001,JV-FAL,Joeville Falls,Canyon,reverse master,32mm-equivalent,clear late-morning,summer master,"wonder, intimacy, reflection",5,reverse eyelines and window continuity,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
JV-FAL-STL-DLG-2S-DAY-V001,JV-FAL,Joeville Falls,Canyon,clean dialogue two-shot,50mm-equivalent,clear late-morning,summer master,"wonder, intimacy, reflection",5,two 34x52-cell figures plus gesture clearance,author against runtime projection; provisional horizon 56% until integration upgrade,far_bg|bg|midground|character_plane|foreground|fx|lighting|shadow,required,PLANNED-NOT-CREATED
