set_id,set_name,cast_size,feasible,anchor_pattern,depth_order,eyelines,entrance_exit,camera,note
JV-TWN,Joeville Town,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-FAL,Joeville Falls,8,no-use-larger-set,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-FAL,Joeville Falls,13,no-use-larger-set,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-MED,Thirteen Stones Meditation Circle,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-MED,Thirteen Stones Meditation Circle,2,yes,open V / profile pair,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,requires verified 13-character silhouettes before final approval
JV-MED,Thirteen Stones Meditation Circle,3,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-MED,Thirteen Stones Meditation Circle,5,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-MED,Thirteen Stones Meditation Circle,8,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-MED,Thirteen Stones Meditation Circle,13,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-DAN,Current Hall,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-DAN,Current Hall,2,yes,open V / profile pair,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,requires verified 13-character silhouettes before final approval
JV-DAN,Current Hall,3,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-DAN,Current Hall,5,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-DAN,Current Hall,8,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-DAN,Current Hall,13,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-TRL,Foothill Trail System,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-TRL,Foothill Trail System,2,yes,open V / profile pair,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,requires verified 13-character silhouettes before final approval
JV-TRL,Foothill Trail System,3,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-TRL,Foothill Trail System,5,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-TRL,Foothill Trail System,8,no-use-larger-set,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-TRL,Foothill Trail System,13,no-use-larger-set,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-CAS,Castle Grace,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-CAS,Castle Grace,2,yes,open V / profile pair,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,requires verified 13-character silhouettes before final approval
JV-CAS,Castle Grace,3,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-CAS,Castle Grace,5,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-CAS,Castle Grace,8,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-CAS,Castle Grace,13,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-PRL,Lantern Walk,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-PRL,Lantern Walk,2,yes,open V / profile pair,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,requires verified 13-character silhouettes before final approval
JV-PRL,Lantern Walk,3,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-PRL,Lantern Walk,5,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-PRL,Lantern Walk,8,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-PRL,Lantern Walk,13,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-JUI,Brightroot Juice Bar,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-JUI,Brightroot Juice Bar,2,yes,open V / profile pair,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,requires verified 13-character silhouettes before final approval
JV-JUI,Brightroot Juice Bar,3,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-JUI,Brightroot Juice Bar,5,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-JUI,Brightroot Juice Bar,8,no-use-larger-set,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-JUI,Brightroot Juice Bar,13,no-use-larger-set,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-TON,Juniper Tonic House,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-TON,Juniper Tonic House,2,yes,open V / profile pair,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,requires verified 13-character silhouettes before final approval
JV-TON,Juniper Tonic House,3,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-TON,Juniper Tonic House,5,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-TON,Juniper Tonic House,8,no-use-larger-set,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-TON,Juniper Tonic House,13,no-use-larger-set,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-SUS,Riverstone Sushi,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-SUS,Riverstone Sushi,2,yes,open V / profile pair,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,requires verified 13-character silhouettes before final approval
JV-SUS,Riverstone Sushi,3,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-SUS,Riverstone Sushi,5,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-SUS,Riverstone Sushi,8,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-SUS,Riverstone Sushi,13,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-GRO,Joeville Commons Market,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-GRO,Joeville Commons Market,2,yes,open V / profile pair,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,requires verified 13-character silhouettes before final approval
JV-GRO,Joeville Commons Market,3,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-GRO,Joeville Commons Market,5,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-GRO,Joeville Commons Market,8,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-GRO,Joeville Commons Market,13,no-use-larger-set,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-CRK,Joeville Creek Path,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-CRK,Joeville Creek Path,2,yes,open V / profile pair,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,requires verified 13-character silhouettes before final approval
JV-CRK,Joeville Creek Path,3,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-CRK,Joeville Creek Path,5,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-CRK,Joeville Creek Path,8,no-use-larger-set,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-CRK,Joeville Creek Path,13,no-use-larger-set,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-RES,Sunward Residential Street,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-RES,Sunward Residential Street,2,yes,open V / profile pair,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,requires verified 13-character silhouettes before final approval
JV-RES,Sunward Residential Street,3,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-RES,Sunward Residential Street,5,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-RES,Sunward Residential Street,8,no-use-larger-set,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-RES,Sunward Residential Street,13,no-use-larger-set,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-PLZ,Civic Weave Plaza,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-PLZ,Civic Weave Plaza,2,yes,open V / profile pair,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,requires verified 13-character silhouettes before final approval
JV-PLZ,Civic Weave Plaza,3,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-PLZ,Civic Weave Plaza,5,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-PLZ,Civic Weave Plaza,8,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-PLZ,Civic Weave Plaza,13,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-BRG,Rainbow Footbridge,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-BRG,Rainbow Footbridge,2,yes,open V / profile pair,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,requires verified 13-character silhouettes before final approval
JV-BRG,Rainbow Footbridge,3,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-BRG,Rainbow Footbridge,5,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-BRG,Rainbow Footbridge,8,no-use-larger-set,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-BRG,Rainbow Footbridge,13,no-use-larger-set,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-OVR,Westlight Overlook,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-OVR,Westlight Overlook,2,yes,open V / profile pair,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,requires verified 13-character silhouettes before final approval
JV-OVR,Westlight Overlook,3,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-OVR,Westlight Overlook,5,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-OVR,Westlight Overlook,8,no-use-larger-set,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-OVR,Westlight Overlook,13,no-use-larger-set,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-TRH,Meadow Trailhead,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-TRH,Meadow Trailhead,2,yes,open V / profile pair,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,requires verified 13-character silhouettes before final approval
JV-TRH,Meadow Trailhead,3,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-TRH,Meadow Trailhead,5,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-TRH,Meadow Trailhead,8,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-TRH,Meadow Trailhead,13,no-use-larger-set,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-ENT,Joeville East Gate,1,yes,single center-third,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,use verified character root anchor
JV-ENT,Joeville East Gate,2,yes,open V / profile pair,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,medium,requires verified 13-character silhouettes before final approval
JV-ENT,Joeville East Gate,3,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-ENT,Joeville East Gate,5,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,wide,requires verified 13-character silhouettes before final approval
JV-ENT,Joeville East Gate,8,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
JV-ENT,Joeville East Gate,13,yes,staggered arc with two depth rows,foreground speaker|primary row|secondary row|environment,converge within group; no crossing through faces,opposed routes; preserve one emergency clear lane,extreme wide/elevated,requires verified 13-character silhouettes before final approval
