requirement_id,requirement,artifacts,tests,status
REQ-POSE-025,Specify listen_camera with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/04_*.md,POSE-025-UNIT;POSE-025-INTEGRATION;POSE-025-VISUAL;POSE-025-RUNTIME,COVERED_BY_PLAN
REQ-POSE-026,Specify listen_cohost_left with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/04_*.md,POSE-026-UNIT;POSE-026-INTEGRATION;POSE-026-VISUAL;POSE-026-RUNTIME,COVERED_BY_PLAN
REQ-POSE-027,Specify listen_cohost_right with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/04_*.md,POSE-027-UNIT;POSE-027-INTEGRATION;POSE-027-VISUAL;POSE-027-RUNTIME,COVERED_BY_PLAN
REQ-POSE-028,Specify nod_single with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/04_*.md,POSE-028-UNIT;POSE-028-INTEGRATION;POSE-028-VISUAL;POSE-028-RUNTIME,COVERED_BY_PLAN
REQ-POSE-029,Specify nod_agree with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/04_*.md,POSE-029-UNIT;POSE-029-INTEGRATION;POSE-029-VISUAL;POSE-029-RUNTIME,COVERED_BY_PLAN
REQ-POSE-030,Specify skeptical_head_tilt with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/04_*.md,POSE-030-UNIT;POSE-030-INTEGRATION;POSE-030-VISUAL;POSE-030-RUNTIME,COVERED_BY_PLAN
REQ-POSE-031,Specify think_hand_chin with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/04_*.md,POSE-031-UNIT;POSE-031-INTEGRATION;POSE-031-VISUAL;POSE-031-RUNTIME,COVERED_BY_PLAN
REQ-POSE-032,Specify handoff_receive with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/04_*.md,POSE-032-UNIT;POSE-032-INTEGRATION;POSE-032-VISUAL;POSE-032-RUNTIME,COVERED_BY_PLAN
REQ-POSE-033,Specify point_headline_left with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/05_*.md,POSE-033-UNIT;POSE-033-INTEGRATION;POSE-033-VISUAL;POSE-033-RUNTIME,COVERED_BY_PLAN
REQ-POSE-034,Specify point_headline_right with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/05_*.md,POSE-034-UNIT;POSE-034-INTEGRATION;POSE-034-VISUAL;POSE-034-RUNTIME,COVERED_BY_PLAN
REQ-POSE-035,Specify point_source_card with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/05_*.md,POSE-035-UNIT;POSE-035-INTEGRATION;POSE-035-VISUAL;POSE-035-RUNTIME,COVERED_BY_PLAN
REQ-POSE-036,Specify point_chart_high with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/05_*.md,POSE-036-UNIT;POSE-036-INTEGRATION;POSE-036-VISUAL;POSE-036-RUNTIME,COVERED_BY_PLAN
REQ-POSE-037,Specify point_chart_low with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/05_*.md,POSE-037-UNIT;POSE-037-INTEGRATION;POSE-037-VISUAL;POSE-037-RUNTIME,COVERED_BY_PLAN
REQ-POSE-038,Specify point_city_window with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/05_*.md,POSE-038-UNIT;POSE-038-INTEGRATION;POSE-038-VISUAL;POSE-038-RUNTIME,COVERED_BY_PLAN
REQ-POSE-039,Specify staff_point_graphic with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/05_*.md,POSE-039-UNIT;POSE-039-INTEGRATION;POSE-039-VISUAL;POSE-039-RUNTIME,COVERED_BY_PLAN
REQ-POSE-040,Specify trace_timeline with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/05_*.md,POSE-040-UNIT;POSE-040-INTEGRATION;POSE-040-VISUAL;POSE-040-RUNTIME,COVERED_BY_PLAN
REQ-POSE-041,Specify breaking_alert_initial with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/06_*.md,POSE-041-UNIT;POSE-041-INTEGRATION;POSE-041-VISUAL;POSE-041-RUNTIME,COVERED_BY_PLAN
REQ-POSE-042,Specify breaking_composed with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/06_*.md,POSE-042-UNIT;POSE-042-INTEGRATION;POSE-042-VISUAL;POSE-042-RUNTIME,COVERED_BY_PLAN
REQ-POSE-043,Specify correction_sober with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/06_*.md,POSE-043-UNIT;POSE-043-INTEGRATION;POSE-043-VISUAL;POSE-043-RUNTIME,COVERED_BY_PLAN
REQ-POSE-044,Specify correction_apology with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/06_*.md,POSE-044-UNIT;POSE-044-INTEGRATION;POSE-044-VISUAL;POSE-044-RUNTIME,COVERED_BY_PLAN
REQ-POSE-045,Specify developing_story with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/06_*.md,POSE-045-UNIT;POSE-045-INTEGRATION;POSE-045-VISUAL;POSE-045-RUNTIME,COVERED_BY_PLAN
REQ-POSE-046,Specify urgent_warning with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/06_*.md,POSE-046-UNIT;POSE-046-INTEGRATION;POSE-046-VISUAL;POSE-046-RUNTIME,COVERED_BY_PLAN
REQ-POSE-047,Specify fact_check_focus with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/06_*.md,POSE-047-UNIT;POSE-047-INTEGRATION;POSE-047-VISUAL;POSE-047-RUNTIME,COVERED_BY_PLAN
REQ-POSE-048,Specify source_emphasis with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/06_*.md,POSE-048-UNIT;POSE-048-INTEGRATION;POSE-048-VISUAL;POSE-048-RUNTIME,COVERED_BY_PLAN
REQ-POSE-049,Specify warm_good_news with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/07_*.md,POSE-049-UNIT;POSE-049-INTEGRATION;POSE-049-VISUAL;POSE-049-RUNTIME,COVERED_BY_PLAN
REQ-POSE-050,Specify amused_light with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/07_*.md,POSE-050-UNIT;POSE-050-INTEGRATION;POSE-050-VISUAL;POSE-050-RUNTIME,COVERED_BY_PLAN
REQ-POSE-051,Specify surprised_bounded with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/07_*.md,POSE-051-UNIT;POSE-051-INTEGRATION;POSE-051-VISUAL;POSE-051-RUNTIME,COVERED_BY_PLAN
REQ-POSE-052,Specify concerned with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/07_*.md,POSE-052-UNIT;POSE-052-INTEGRATION;POSE-052-VISUAL;POSE-052-RUNTIME,COVERED_BY_PLAN
REQ-POSE-053,Specify curious with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/07_*.md,POSE-053-UNIT;POSE-053-INTEGRATION;POSE-053-VISUAL;POSE-053-RUNTIME,COVERED_BY_PLAN
REQ-POSE-054,Specify confident_resolve with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/07_*.md,POSE-054-UNIT;POSE-054-INTEGRATION;POSE-054-VISUAL;POSE-054-RUNTIME,COVERED_BY_PLAN
REQ-POSE-055,Specify empathetic with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/07_*.md,POSE-055-UNIT;POSE-055-INTEGRATION;POSE-055-VISUAL;POSE-055-RUNTIME,COVERED_BY_PLAN
REQ-POSE-056,Specify proud_bounded with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/07_*.md,POSE-056-UNIT;POSE-056-INTEGRATION;POSE-056-VISUAL;POSE-056-RUNTIME,COVERED_BY_PLAN
REQ-POSE-057,Specify desk_seated_neutral with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/08_*.md,POSE-057-UNIT;POSE-057-INTEGRATION;POSE-057-VISUAL;POSE-057-RUNTIME,COVERED_BY_PLAN
REQ-POSE-058,Specify desk_seated_speaking with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/08_*.md,POSE-058-UNIT;POSE-058-INTEGRATION;POSE-058-VISUAL;POSE-058-RUNTIME,COVERED_BY_PLAN
REQ-POSE-059,Specify desk_seated_listening with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/08_*.md,POSE-059-UNIT;POSE-059-INTEGRATION;POSE-059-VISUAL;POSE-059-RUNTIME,COVERED_BY_PLAN
REQ-POSE-060,Specify desk_seated_pointing with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/08_*.md,POSE-060-UNIT;POSE-060-INTEGRATION;POSE-060-VISUAL;POSE-060-RUNTIME,COVERED_BY_PLAN
REQ-POSE-061,Specify desk_review_notes with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/08_*.md,POSE-061-UNIT;POSE-061-INTEGRATION;POSE-061-VISUAL;POSE-061-RUNTIME,COVERED_BY_PLAN
REQ-POSE-062,Specify desk_microphone_ready with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/08_*.md,POSE-062-UNIT;POSE-062-INTEGRATION;POSE-062-VISUAL;POSE-062-RUNTIME,COVERED_BY_PLAN
REQ-POSE-063,Specify stand_from_desk with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/08_*.md,POSE-063-UNIT;POSE-063-INTEGRATION;POSE-063-VISUAL;POSE-063-RUNTIME,COVERED_BY_PLAN
REQ-POSE-064,Specify sit_at_desk with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/08_*.md,POSE-064-UNIT;POSE-064-INTEGRATION;POSE-064-VISUAL;POSE-064-RUNTIME,COVERED_BY_PLAN
REQ-POSE-065,Specify enter_from_left with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/09_*.md,POSE-065-UNIT;POSE-065-INTEGRATION;POSE-065-VISUAL;POSE-065-RUNTIME,COVERED_BY_PLAN
REQ-POSE-066,Specify enter_from_right with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/09_*.md,POSE-066-UNIT;POSE-066-INTEGRATION;POSE-066-VISUAL;POSE-066-RUNTIME,COVERED_BY_PLAN
REQ-POSE-067,Specify walk_to_anchor_mark with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/09_*.md,POSE-067-UNIT;POSE-067-INTEGRATION;POSE-067-VISUAL;POSE-067-RUNTIME,COVERED_BY_PLAN
REQ-POSE-068,Specify walk_to_explainer_wall with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/09_*.md,POSE-068-UNIT;POSE-068-INTEGRATION;POSE-068-VISUAL;POSE-068-RUNTIME,COVERED_BY_PLAN
REQ-POSE-069,Specify walk_to_correspondent_window with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/09_*.md,POSE-069-UNIT;POSE-069-INTEGRATION;POSE-069-VISUAL;POSE-069-RUNTIME,COVERED_BY_PLAN
REQ-POSE-070,Specify turn_to_camera with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/09_*.md,POSE-070-UNIT;POSE-070-INTEGRATION;POSE-070-VISUAL;POSE-070-RUNTIME,COVERED_BY_PLAN
REQ-POSE-071,Specify turn_to_graphic with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/09_*.md,POSE-071-UNIT;POSE-071-INTEGRATION;POSE-071-VISUAL;POSE-071-RUNTIME,COVERED_BY_PLAN
REQ-POSE-072,Specify exit_stage with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/09_*.md,POSE-072-UNIT;POSE-072-INTEGRATION;POSE-072-VISUAL;POSE-072-RUNTIME,COVERED_BY_PLAN
REQ-POSE-073,Specify orb_low_glow with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/10_*.md,POSE-073-UNIT;POSE-073-INTEGRATION;POSE-073-VISUAL;POSE-073-RUNTIME,COVERED_BY_PLAN
REQ-POSE-074,Specify orb_breaking_pulse with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/10_*.md,POSE-074-UNIT;POSE-074-INTEGRATION;POSE-074-VISUAL;POSE-074-RUNTIME,COVERED_BY_PLAN
REQ-POSE-075,Specify orb_correction_dim with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/10_*.md,POSE-075-UNIT;POSE-075-INTEGRATION;POSE-075-VISUAL;POSE-075-RUNTIME,COVERED_BY_PLAN
REQ-POSE-076,Specify conjure_chart with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/10_*.md,POSE-076-UNIT;POSE-076-INTEGRATION;POSE-076-VISUAL;POSE-076-RUNTIME,COVERED_BY_PLAN
REQ-POSE-077,Specify summon_source_scroll with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/10_*.md,POSE-077-UNIT;POSE-077-INTEGRATION;POSE-077-VISUAL;POSE-077-RUNTIME,COVERED_BY_PLAN
REQ-POSE-078,Specify magic_reveal_headline with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/10_*.md,POSE-078-UNIT;POSE-078-INTEGRATION;POSE-078-VISUAL;POSE-078-RUNTIME,COVERED_BY_PLAN
REQ-POSE-079,Specify teleport_puff_arrival with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/10_*.md,POSE-079-UNIT;POSE-079-INTEGRATION;POSE-079-VISUAL;POSE-079-RUNTIME,COVERED_BY_PLAN
REQ-POSE-080,Specify staff_misfire_recover with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/10_*.md,POSE-080-UNIT;POSE-080-INTEGRATION;POSE-080-VISUAL;POSE-080-RUNTIME,COVERED_BY_PLAN
REQ-POSE-081,Specify wings_resting with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/11_*.md,POSE-081-UNIT;POSE-081-INTEGRATION;POSE-081-VISUAL;POSE-081-RUNTIME,COVERED_BY_PLAN
REQ-POSE-082,Specify wings_welcome_open with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/11_*.md,POSE-082-UNIT;POSE-082-INTEGRATION;POSE-082-VISUAL;POSE-082-RUNTIME,COVERED_BY_PLAN
REQ-POSE-083,Specify wings_emphasis with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/11_*.md,POSE-083-UNIT;POSE-083-INTEGRATION;POSE-083-VISUAL;POSE-083-RUNTIME,COVERED_BY_PLAN
REQ-POSE-084,Specify wings_folded_serious with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/11_*.md,POSE-084-UNIT;POSE-084-INTEGRATION;POSE-084-VISUAL;POSE-084-RUNTIME,COVERED_BY_PLAN
REQ-POSE-085,Specify closeup_warm with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/11_*.md,POSE-085-UNIT;POSE-085-INTEGRATION;POSE-085-VISUAL;POSE-085-RUNTIME,COVERED_BY_PLAN
REQ-POSE-086,Specify closeup_concerned with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/11_*.md,POSE-086-UNIT;POSE-086-INTEGRATION;POSE-086-VISUAL;POSE-086-RUNTIME,COVERED_BY_PLAN
REQ-POSE-087,Specify closeup_skeptical with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/11_*.md,POSE-087-UNIT;POSE-087-INTEGRATION;POSE-087-VISUAL;POSE-087-RUNTIME,COVERED_BY_PLAN
REQ-POSE-088,Specify closeup_signoff with all required fields and engine dispositions,catalogs/pose-catalog.json;pose-sections/11_*.md,POSE-088-UNIT;POSE-088-INTEGRATION;POSE-088-VISUAL;POSE-088-RUNTIME,COVERED_BY_PLAN
REQ-TRANS-001,Specify essential transition tr_home_to_anchor,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-001-UNIT;TRANS-001-INTEGRATION;TRANS-001-VISUAL,COVERED_BY_PLAN
REQ-TRANS-002,Specify essential transition tr_anchor_to_home,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-002-UNIT;TRANS-002-INTEGRATION;TRANS-002-VISUAL,COVERED_BY_PLAN
REQ-TRANS-003,Specify essential transition tr_home_to_explain,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-003-UNIT;TRANS-003-INTEGRATION;TRANS-003-VISUAL,COVERED_BY_PLAN
REQ-TRANS-004,Specify essential transition tr_explain_to_home,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-004-UNIT;TRANS-004-INTEGRATION;TRANS-004-VISUAL,COVERED_BY_PLAN
REQ-TRANS-005,Specify essential transition tr_home_to_emphasize,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-005-UNIT;TRANS-005-INTEGRATION;TRANS-005-VISUAL,COVERED_BY_PLAN
REQ-TRANS-006,Specify essential transition tr_emphasize_to_home,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-006-UNIT;TRANS-006-INTEGRATION;TRANS-006-VISUAL,COVERED_BY_PLAN
REQ-TRANS-007,Specify essential transition tr_home_to_count,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-007-UNIT;TRANS-007-INTEGRATION;TRANS-007-VISUAL,COVERED_BY_PLAN
REQ-TRANS-008,Specify essential transition tr_home_to_clarify,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-008-UNIT;TRANS-008-INTEGRATION;TRANS-008-VISUAL,COVERED_BY_PLAN
REQ-TRANS-009,Specify essential transition tr_home_to_compare,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-009-UNIT;TRANS-009-INTEGRATION;TRANS-009-VISUAL,COVERED_BY_PLAN
REQ-TRANS-010,Specify essential transition tr_home_to_listen,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-010-UNIT;TRANS-010-INTEGRATION;TRANS-010-VISUAL,COVERED_BY_PLAN
REQ-TRANS-011,Specify essential transition tr_listen_to_home,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-011-UNIT;TRANS-011-INTEGRATION;TRANS-011-VISUAL,COVERED_BY_PLAN
REQ-TRANS-012,Specify essential transition tr_listen_to_handoff,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-012-UNIT;TRANS-012-INTEGRATION;TRANS-012-VISUAL,COVERED_BY_PLAN
REQ-TRANS-013,Specify essential transition tr_home_to_point,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-013-UNIT;TRANS-013-INTEGRATION;TRANS-013-VISUAL,COVERED_BY_PLAN
REQ-TRANS-014,Specify essential transition tr_point_to_home,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-014-UNIT;TRANS-014-INTEGRATION;TRANS-014-VISUAL,COVERED_BY_PLAN
REQ-TRANS-015,Specify essential transition tr_any_to_breaking,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-015-UNIT;TRANS-015-INTEGRATION;TRANS-015-VISUAL,COVERED_BY_PLAN
REQ-TRANS-016,Specify essential transition tr_breaking_to_composed,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-016-UNIT;TRANS-016-INTEGRATION;TRANS-016-VISUAL,COVERED_BY_PLAN
REQ-TRANS-017,Specify essential transition tr_any_to_correction,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-017-UNIT;TRANS-017-INTEGRATION;TRANS-017-VISUAL,COVERED_BY_PLAN
REQ-TRANS-018,Specify essential transition tr_correction_restore,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-018-UNIT;TRANS-018-INTEGRATION;TRANS-018-VISUAL,COVERED_BY_PLAN
REQ-TRANS-019,Specify essential transition tr_home_to_desk,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-019-UNIT;TRANS-019-INTEGRATION;TRANS-019-VISUAL,COVERED_BY_PLAN
REQ-TRANS-020,Specify essential transition tr_desk_to_home,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-020-UNIT;TRANS-020-INTEGRATION;TRANS-020-VISUAL,COVERED_BY_PLAN
REQ-TRANS-021,Specify essential transition tr_home_to_locomotion,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-021-UNIT;TRANS-021-INTEGRATION;TRANS-021-VISUAL,COVERED_BY_PLAN
REQ-TRANS-022,Specify essential transition tr_locomotion_to_home,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-022-UNIT;TRANS-022-INTEGRATION;TRANS-022-VISUAL,COVERED_BY_PLAN
REQ-TRANS-023,Specify essential transition tr_mark_to_turn,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-023-UNIT;TRANS-023-INTEGRATION;TRANS-023-VISUAL,COVERED_BY_PLAN
REQ-TRANS-024,Specify essential transition tr_home_to_magic,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-024-UNIT;TRANS-024-INTEGRATION;TRANS-024-VISUAL,COVERED_BY_PLAN
REQ-TRANS-025,Specify essential transition tr_magic_to_home,catalogs/transition-matrix.json;transitions/01_ESSENTIAL_TRANSITION_MATRIX.md,TRANS-025-UNIT;TRANS-025-INTEGRATION;TRANS-025-VISUAL,COVERED_BY_PLAN
