"source_id","publisher","title","source_type","authority_level","claims_used","checked_date","volatility","production_use_note","url"
"B18","City of Boulder","Urban Forest Strategic Plan","official planning PDF","primary","Mixed native and introduced street/park tree composition","2026-07-13","medium","Inventory ages; use to prevent a falsely all-native urban canopy","https://bouldercolorado.gov/sites/default/files/2021-05/boulderufspv2018.pdf"
"B19","City of Boulder","Tree and Plant List","official regulatory page","primary","2026 water-conservation and wildfire-resilient planting framework","2026-07-13","high","Regulatory list can be amended; recheck for real landscape work","https://bouldercolorado.gov/tree-and-plant-list"
"B20","City of Boulder Historic Preservation","Landmark Alteration Certificate Application and Review","official review page","primary","Historic compatibility considers style texture color materials and arrangement","2026-07-13","medium","Reference for design language; not a Joeville legal requirement","https://bouldercolorado.gov/services/landmark-alteration-certificate-application-and-review"
"B21","City of Boulder","Post-World War II Residential Architecture Survey","official historic-context PDF","primary","Postwar residential layer and development themes","2026-07-13","low","Use to diversify neighborhoods beyond Victorian imagery","https://bouldercolorado.gov/sites/default/files/2021-02/ww2-survey-final.pdf"
"B22","Visit Boulder CVB","Health & Wellness in Boulder","official destination-marketing page","secondary/promotional","Promoted identity around yoga meditation wellness healthy food and outdoor exercise","2026-07-13","high","Use as cultural signal only; do not treat marketing claims as neutral demographics","https://www.bouldercoloradousa.com/things-to-do/health-and-wellness/"
"B23","Visit Boulder CVB","Insider's Guide to the Boulder Farmers Market","official destination-marketing page","secondary/promotional","Market location seasonal schedule local-food and gathering functions","2026-07-13","very high","Schedule and vendors change; recheck before depiction or scout","https://www.bouldercoloradousa.com/things-to-do/insider-guides/farmers-market/"
"B24","Visit Boulder CVB","Boulder Coffee Crawl","official destination-marketing page","secondary/promotional","Large independent coffee scene as promoted local identity","2026-07-13","very high","Do not rely on individual business list without fresh verification","https://www.bouldercoloradousa.com/food-and-drink/coffee-shops/"
"B25","City of Boulder","Film or Photography Permit Application","official permit page","primary","14-day application lead; fees; insurance; releases; drone and OSMP constraints","2026-07-13","very high","Recheck immediately before any shoot; contact permit office","https://bouldercolorado.gov/services/film-permit-application"
"B26","City of Boulder OSMP","OSMP Permits","official permit page","primary","Film and commercial-use permit relationship; nonexclusive use; drone restriction","2026-07-13","very high","Recheck per activity and location","https://bouldercolorado.gov/osmp-permits"
"B27","City of Boulder OSMP","OSMP Commercial Use Permits","official permit page","primary","Commercial filming conditions and resource protections","2026-07-13","very high","Recheck application cycle fees insurance and restrictions","https://bouldercolorado.gov/services/osmp-commercial-use-permits"
"B28","Boulder County Parks and Open Space","Special Use Permits on Open Space","official county permit page","primary","County page currently disallows permits for commercial movie/commercial filming","2026-07-13","very high","Different jurisdiction from City OSMP; contact county before planning","https://bouldercounty.gov/open-space/activities/permits/"
"B29","U.S. House Office of the Law Revision Counsel","17 U.S.C. Section 120","federal statute","primary","Pictorial representations of constructed architecture visible from public places","2026-07-13","medium","Counsel must assess application; does not clear access art trademarks or source photos","https://uscode.house.gov/view.xhtml?edition=prelim&num=0&req=granuleid%3AUSC-prelim-title17-section120"
"B30","Whole Foods Market","Pearl Store","first-party current business page","primary/current business","Current Pearl store identity address hours and branded departments","2026-07-13","very high","Do not reproduce brand or trade dress without clearance; recheck operation if relevant","https://www.wholefoodsmarket.com/stores/boulder"
"B31","United States Patent and Trademark Office","Trademark basics","official federal guidance","primary","Names and logos used to identify source may be trademarks","2026-07-13","medium","General guidance only; conduct search and counsel review for final fictional names","https://www.uspto.gov/trademarks/basics"
"B32","United States Patent and Trademark Office","Trademark examples","official federal guidance","primary","Words slogans designs and combinations can function as trademarks","2026-07-13","medium","Supports broad brand-clearance review; not a specific infringement opinion","https://www.uspto.gov/trademarks/basics/trademark-examples"
